,hourly_range,Alabama_Football_Game_Actual_Time
0,2019-01-01 12:00:00,1
1,2019-08-31 14:00:00,1
2,2019-09-07 15:00:00,1
3,2019-09-14 14:00:00,1
4,2019-09-21 11:00:00,1
5,2019-09-28 14:00:00,1
6,2019-10-12 14:00:00,1
7,2019-10-19 20:00:00,1
8,2019-10-26 18:00:00,1
9,2019-11-09 14:00:00,1
10,2019-11-16 11:00:00,1
11,2019-11-23 11:00:00,1
12,2019-11-30 15:00:00,1
13,2020-01-01 15:00:00,1
14,2020-01-11 19:00:00,1
15,2020-09-26 18:00:00,1
16,2020-10-03 14:00:00,1
17,2020-10-10 18:00:00,1
18,2020-10-17 19:00:00,1
19,2020-10-24 14:00:00,1
20,2020-10-31 18:00:00,1
21,2020-11-21 15:00:00,1
22,2020-11-28 15:00:00,1
23,2020-12-05 19:00:00,1
24,2020-12-12 11:00:00,1
25,2020-12-19 19:00:00,1
26,2021-01-10 19:00:00,1
27,2021-09-04 14:00:00,1
28,2021-09-11 15:00:00,1
29,2021-09-18 14:00:00,1
30,2021-09-25 18:00:00,1
31,2021-10-02 14:00:00,1
32,2021-10-09 19:00:00,1
33,2021-10-16 18:00:00,1
34,2021-10-23 18:00:00,1
35,2021-11-06 18:00:00,1
36,2021-11-13 11:00:00,1
37,2021-11-20 14:00:00,1
38,2021-11-27 15:00:00,1
39,2021-12-04 15:00:00,1
40,2021-12-31 14:00:00,1
41,2022-09-03 18:00:00,1
42,2022-09-10 11:00:00,1
43,2022-09-17 15:00:00,1
44,2022-09-24 18:00:00,1
45,2022-10-01 14:00:00,1
46,2022-10-08 19:00:00,1
47,2022-10-15 14:00:00,1
48,2022-10-22 18:00:00,1
49,2022-11-05 18:00:00,1
50,2022-11-12 14:00:00,1
51,2022-11-19 11:00:00,1
52,2022-11-26 15:00:00,1
53,2022-12-31 00:00:00,1
54,2023-01-01 16:00:00,1
